62.0,180.2
64.0,181.2
78.0,186.2
103.0,193.2
145.0,207.2
188.0,224.2
234.0,242.2
276.0,259.2
312.0,271.2
343.0,280.2
365.0,283.2
389.0,284.2
409.0,282.2
409.0,282.2
422.0,273.2
422.0,271.2
414.0,259.2
396.0,244.2
339.0,213.2
294.0,195.2
232.0,172.2
175.0,154.2
124.0,137.2
99.0,127.2
89.0,124.2
89.0,125.2
93.0,132.2
96.0,135.2
118.0,165.2
141.0,187.2
178.0,210.2
214.0,227.2
292.0,253.2
342.0,267.2
369.0,275.2
396.0,285.2
409.0,293.2
419.0,300.2
433.0,309.2
452.0,323.2
466.0,335.2
478.0,344.2
502.0,365.2
506.0,369.2
502.0,371.2
488.0,369.2
458.0,360.2
404.0,341.2
343.0,318.2
280.0,293.2
209.0,267.2
140.0,244.2
79.0,226.2
35.0,211.2
8.0,200.2
392.0,192.2
393.0,192.2
391.0,191.2
376.0,185.2
337.0,174.2
275.0,164.2
206.0,155.2
140.0,144.2
97.0,133.2
78.0,126.2
74.0,124.2
84.0,128.2
110.0,141.2
154.0,164.2
213.0,195.2
282.0,229.2
351.0,260.2
402.0,282.2
437.0,299.2
466.0,313.2
485.0,321.2
494.0,324.2
494.0,324.2
491.0,321.2
476.0,307.2
446.0,284.2
406.0,253.2
362.0,224.2
309.0,193.2
263.0,164.2
231.0,142.2
205.0,121.2
190.0,104.2
185.0,95.2
183.0,90.2
183.0,89.2
183.0,89.2
182.0,89.2
180.0,88.2
165.0,83.2
133.0,75.2
99.0,64.2
79.0,54.2
72.0,49.2
73.0,49.2
80.0,51.2
106.0,60.2
158.0,79.2
228.0,103.2
299.0,127.2
333.0,140.2
348.0,147.2
357.0,152.2
365.0,155.2
377.0,160.2
405.0,173.2
439.0,194.2
480.0,219.2
503.0,239.2
515.0,253.2
519.0,263.2
519.0,266.2
516.0,266.2
507.0,263.2
479.0,247.2
427.0,223.2
371.0,200.2
324.0,183.2
286.0,172.2
267.0,171.2
259.0,173.2
257.0,181.2
258.0,196.2
262.0,219.2
273.0,242.2
290.0,257.2
315.0,269.2
339.0,274.2
353.0,274.2
362.0,270.2
374.0,263.2
398.0,252.2
427.0,242.2
458.0,236.2
484.0,234.2
502.0,234.2
513.0,235.2
518.0,238.2
519.0,241.2
518.0,244.2
517.0,249.2
515.0,253.2
510.0,259.2
504.0,267.2
493.0,274.2
473.0,282.2
437.0,289.2
398.0,293.2
363.0,295.2
331.0,292.2
315.0,289.2
309.0,287.2
319.0,289.2
352.0,298.2
397.0,313.2
447.0,328.2
495.0,343.2
523.0,353.2
537.0,359.2
542.0,362.2
542.0,362.2
545.0,363.2
551.0,363.2
555.0,363.2
554.0,361.2
538.0,350.2
509.0,333.2
453.0,304.2
382.0,268.2
301.0,228.2
213.0,189.2
138.0,157.2
73.0,130.2
14.0,108.2
547.0,308.2
545.0,306.2
530.0,298.2
505.0,287.2
475.0,274.2
439.0,257.2
404.0,240.2
368.0,220.2
323.0,200.2
278.0,184.2
233.0,171.2
188.0,159.2
154.0,148.2
130.0,137.2
115.0,128.2
103.0,119.2
96.0,112.2
91.0,106.2
89.0,101.2
89.0,97.2
89.0,92.2
89.0,91.2
55.0,153.2
56.0,152.2
57.0,152.2
60.0,153.2
71.0,159.2
94.0,169.2
130.0,182.2
195.0,203.2
266.0,226.2
337.0,248.2
398.0,269.2
442.0,286.2
469.0,298.2
486.0,308.2
495.0,312.2
497.0,313.2
93.0,108.2
97.0,108.2
114.0,112.2
149.0,125.2
207.0,149.2
284.0,183.2
362.0,212.2
434.0,235.2
495.0,253.2
528.0,260.2
54.0,89.2
55.0,89.2
60.0,91.2
71.0,95.2
91.0,103.2
130.0,116.2
190.0,136.2
269.0,164.2
345.0,193.2
412.0,220.2
477.0,249.2
530.0,274.2
561.0,291.2
582.0,304.2
589.0,310.2
590.0,313.2
591.0,315.2
593.0,317.2
